participant_id,condition,age,income_bracket,gender,cancellation,satisfaction_composite,product_quality,product_relevance,product_variety,overall_satisfaction,recommend_likelihood,additional_revenue
1346,Change,36,"$50,000-$74,999",Female,0,8,8,9,7,8,8,0
1347,Control,31,"$75,000-$99,999",Female,0,6.3,6,6,6,6,6,13.99
1348,Change,43,"$25,000-$49,999",Female,0,7.8,8,8,7,8,8,18.5
1349,Control,26,"$50,000-$74,999",Female,1,5.1,5,5,5,5,5,0
1350,Change,34,"$100,000-$149,999",Female,0,8.1,8,8,8,8,8,0
1351,Control,45,"$75,000-$99,999",Female,0,6.7,7,7,6,7,7,17.25
1352,Change,28,"$50,000-$74,999",Female,0,7.9,8,8,8,8,8,28.99
1353,Control,39,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1354,Change,25,"$75,000-$99,999",Female,0,8,8,9,7,8,8,0
1355,Control,36,"$100,000-$149,999",Male,0,6.2,6,6,6,6,6,0
1356,Change,42,"$25,000-$49,999",Female,0,8.2,9,8,8,8,8,21.99
1357,Control,29,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1358,Change,33,"$75,000-$99,999",Female,0,7.7,8,8,7,8,7,0
1359,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,14.5
1360,Change,30,"$100,000-$149,999",Female,0,8.1,8,9,8,8,8,52.75
1361,Control,24,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1362,Change,37,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1363,Control,27,"$75,000-$99,999",Female,0,6.4,7,6,6,7,6,15.99
1364,Change,40,"$25,000-$49,999",Female,0,8.3,9,9,8,8,8,19.75
1365,Control,32,"$50,000-$74,999",Female,1,5.2,6,5,5,5,5,0
1366,Change,26,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1367,Control,44,"$75,000-$99,999",Female,0,6.6,7,7,6,7,6,0
1368,Change,35,"$50,000-$74,999",Non-binary,0,8,8,8,8,8,8,31.99
1369,Control,23,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1370,Change,38,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,0
1371,Control,30,"$100,000-$149,999",Male,0,6.3,6,6,6,7,6,12.75
1372,Change,41,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,20.5
1373,Control,27,"$50,000-$74,999",Female,1,5.1,5,5,5,5,5,0
1374,Change,34,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,0
1375,Control,46,"$150,000+",Female,0,6.5,7,6,6,7,7,16.99
1376,Change,29,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,45.99
1377,Control,25,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1378,Change,37,"$50,000-$74,999",Female,0,8,8,8,8,8,8,0
1379,Control,32,"$75,000-$99,999",Female,0,6.2,6,6,6,6,6,0
1380,Change,43,"$25,000-$49,999",Female,0,8.2,9,8,8,8,8,22.75
1381,Control,28,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1382,Change,35,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1383,Control,48,"$75,000-$99,999",Female,0,6.7,7,7,6,7,7,18.99
1384,Change,31,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,29.5
1385,Control,24,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1386,Change,39,"$75,000-$99,999",Female,0,8.1,9,8,8,8,8,0
1387,Control,33,"$100,000-$149,999",Male,0,6.4,7,6,6,7,6,14.99
1388,Change,26,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,19.25
1389,Control,40,"$50,000-$74,999",Female,1,5.2,6,5,5,5,5,0
1390,Change,28,"$75,000-$99,999",Female,0,8,8,9,7,8,8,0
1391,Control,45,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1392,Change,32,"$100,000-$149,999",Female,0,8.3,9,9,8,8,8,58.99
1393,Control,23,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1394,Change,36,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1395,Control,29,"$75,000-$99,999",Female,0,6.3,6,6,6,7,6,13.5
1396,Change,41,"$25,000-$49,999",Non-binary,0,8.1,8,9,8,8,8,21.75
1397,Control,27,"$50,000-$74,999",Female,1,5.1,5,5,5,5,5,0
1398,Change,35,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1399,Control,47,"$75,000-$99,999",Female,0,6.6,7,7,6,7,6,0
1400,Change,30,"$50,000-$74,999",Female,0,8,8,8,8,8,8,27.99
1401,Control,25,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1402,Change,38,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,0
1403,Control,33,"$100,000-$149,999",Male,0,6.4,7,6,6,7,6,15.75
1404,Change,42,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,23.5
1405,Control,28,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1406,Change,34,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,0
1407,Control,46,"$150,000+",Female,0,6.5,7,6,6,7,7,17.25
1408,Change,29,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,49.99
1409,Control,24,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1410,Change,37,"$50,000-$74,999",Female,0,8,8,8,8,8,8,0
1411,Control,31,"$75,000-$99,999",Female,0,6.2,6,6,6,6,6,0
1412,Change,43,"$25,000-$49,999",Female,0,8.2,9,8,8,8,8,24.75
1413,Control,26,"$50,000-$74,999",Female,1,5.2,6,5,5,5,5,0
1414,Change,35,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1415,Control,41,"$75,000-$99,999",Female,0,6.7,7,7,6,7,7,16.5
1416,Change,28,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,26.99
1417,Control,39,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1418,Change,25,"$75,000-$99,999",Female,0,8.1,9,8,8,8,8,0
1419,Control,36,"$100,000-$149,999",Male,0,6.3,7,6,6,6,6,12.99
1420,Change,45,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,18.25
1421,Control,30,"$50,000-$74,999",Female,1,5.1,5,5,5,5,5,0
1422,Change,27,"$75,000-$99,999",Female,0,8,8,9,7,8,8,0
1423,Control,44,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1424,Change,32,"$100,000-$149,999",Non-binary,0,8.3,9,9,8,8,8,55.99
1425,Control,23,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1426,Change,38,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1427,Control,29,"$75,000-$99,999",Female,0,6.4,7,6,6,7,6,14.5
1428,Change,40,"$25,000-$49,999",Female,0,8.1,8,9,8,8,8,22.5
1429,Control,26,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1430,Change,33,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1431,Control,46,"$75,000-$99,999",Female,0,6.6,7,7,6,7,6,0
1432,Change,31,"$50,000-$74,999",Female,0,8,8,8,8,8,8,29.75
1433,Control,24,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1434,Change,37,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,0
1435,Control,42,"$100,000-$149,999",Male,0,6.3,6,6,6,7,6,16.25
1436,Change,28,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,19.99
1437,Control,35,"$50,000-$74,999",Female,1,5.2,6,5,5,5,5,0
1438,Change,30,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,0
1439,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,18.99
1440,Change,29,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,51.5
1441,Control,25,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1442,Change,38,"$50,000-$74,999",Female,0,8,8,8,8,8,8,0
1443,Control,32,"$75,000-$99,999",Female,0,6.2,6,6,6,6,6,0
1444,Change,41,"$25,000-$49,999",Female,0,8.2,9,8,8,8,8,21.75
1445,Control,27,"$50,000-$74,999",Female,1,5.1,5,5,5,5,5,0
1446,Change,34,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1447,Control,43,"$75,000-$99,999",Female,0,6.7,7,7,6,7,7,15.5
1448,Change,29,"$50,000-$74,999",Non-binary,0,7.8,8,8,7,8,8,28.99
1449,Control,39,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1450,Change,26,"$75,000-$99,999",Female,0,8.1,9,8,8,8,8,0
1451,Control,36,"$100,000-$149,999",Male,0,6.4,7,6,6,7,6,13.99
1452,Change,45,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,20.5
1453,Control,30,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1454,Change,28,"$75,000-$99,999",Female,0,8,8,9,7,8,8,0
1455,Control,44,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1456,Change,33,"$100,000-$149,999",Female,0,8.3,9,9,8,8,8,57.99
1457,Control,25,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1458,Change,37,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1459,Control,31,"$75,000-$99,999",Female,0,6.3,6,6,6,7,6,14.75
1460,Change,40,"$25,000-$49,999",Female,0,8.1,8,9,8,8,8,23.5
1461,Control,27,"$50,000-$74,999",Female,1,5.2,6,5,5,5,5,0
1462,Change,35,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1463,Control,46,"$75,000-$99,999",Female,0,6.6,7,7,6,7,6,0
1464,Change,29,"$50,000-$74,999",Female,0,8,8,8,8,8,8,30.75
1465,Control,24,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1466,Change,38,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,0
1467,Control,32,"$100,000-$149,999",Male,0,6.4,7,6,6,7,6,16.99
1468,Change,41,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,19.25
1469,Control,28,"$50,000-$74,999",Female,1,5.1,5,5,5,5,5,0
1470,Change,34,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,0
1471,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,17.5
1472,Change,30,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,53.99
1473,Control,25,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1474,Change,37,"$50,000-$74,999",Female,0,8,8,8,8,8,8,0
1475,Control,33,"$75,000-$99,999",Female,0,6.2,6,6,6,6,6,0
1476,Change,42,"$25,000-$49,999",Non-binary,0,8.2,9,8,8,8,8,22.75
1477,Control,26,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1478,Change,35,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1479,Control,45,"$75,000-$99,999",Female,0,6.7,7,7,6,7,7,15.99
1480,Change,29,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,27.99
1481,Control,39,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1482,Change,27,"$75,000-$99,999",Female,0,8.1,9,8,8,8,8,0
1483,Control,36,"$100,000-$149,999",Male,0,6.3,7,6,6,6,6,12.5
1484,Change,43,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,21.5
1485,Control,30,"$50,000-$74,999",Female,1,5.2,6,5,5,5,5,0
1486,Change,28,"$75,000-$99,999",Female,0,8,8,9,7,8,8,0
1487,Control,44,"$150,000+",Female,0,6.5,7,6,6,7,7,0
1488,Change,31,"$100,000-$149,999",Female,0,8.3,9,9,8,8,8,56.99
1489,Control,25,"Under $25,000",Female,1,4.9,5,5,4,5,5,0
1490,Change,38,"$50,000-$74,999",Female,0,7.8,8,8,7,8,8,0
1491,Control,32,"$75,000-$99,999",Female,0,6.4,7,6,6,7,6,14.25
1492,Change,40,"$25,000-$49,999",Female,0,8.1,8,9,8,8,8,22.99
1493,Control,27,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1494,Change,34,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1495,Control,46,"$75,000-$99,999",Female,0,6.6,7,7,6,7,6,0
1496,Change,29,"$50,000-$74,999",Female,0,8,8,8,8,8,8,31.75
1497,Control,23,"Under $25,000",Female,1,4.8,5,5,4,5,5,0
1498,Change,37,"$75,000-$99,999",Female,0,8.2,9,8,8,8,8,0
1499,Control,33,"$100,000-$149,999",Male,0,6.3,6,6,6,7,6,16.5
1500,Change,41,"$25,000-$49,999",Female,0,7.7,8,8,7,8,7,19.99
1501,Control,28,"$50,000-$74,999",Female,1,5.1,5,5,5,5,5,0
1502,Change,35,"$75,000-$99,999",Female,0,8.1,8,9,8,8,8,0
1503,Control,47,"$150,000+",Female,0,6.5,7,6,6,7,7,17.99
1504,Change,30,"$100,000-$149,999",Female,0,7.8,8,8,7,8,8,52.5
1505,Control,25,"Under $25,000",Female,1,4.7,5,5,4,5,4,0
1506,Change,38,"$50,000-$74,999",Female,0,8,8,8,8,8,8,0
1507,Control,31,"$75,000-$99,999",Female,0,6.2,6,6,6,6,6,0
1508,Change,42,"$25,000-$49,999",Non-binary,0,8.2,9,8,8,8,8,23.75
1509,Control,26,"$50,000-$74,999",Female,1,5,5,5,5,5,5,0
1510,Change,34,"$100,000-$149,999",Female,0,7.9,8,8,8,8,8,0
1511,Control,45,"$75,000-$99,999",Female,0,6.7,7,7,6,7,7,15.25
